"","Accession","Gene Symbol","Coverage [%]","# Peptides","# PSMs","# AAs","MW [kDa]","Pfam IDs","Entrez Gene ID","Ensembl Gene ID","WT1","WT2","WT3","KD1","KD2","KD3","TM1","TM2","TM3","C11","C12","C13","NT1","NT2","NT3","KD_FC","KD_logP","TM_FC","TM_logP","C1_FC","C1_logP","NT_FC","NT_logP","Rest_FC","Rest_logP","# Protein Pathway Groups","Biological Process","Cellular Component","Molecular Function","Gene ID","Reactome Pathways","WikiPathways","Uniprotlink","ffatscore","ffatscore2"
"648","Q9UPU5","USP24",26,56,278,2620,294.2,"Pf00443","23358","ENSG00000162402",24051846.8980137,8902179.72632976,19616268.4435183,26113840.9678147,20772048.3743623,22739396.438674,48023372.7582556,33614091.3917925,26211137.4527588,34274838.7626238,32534097.3962611,27412281.8966786,565931.838772686,689983.405900005,3223436.3596485,-0.405363511559535,0.525352357285169,-1.03668773256485,1.10729312648366,-0.841804150204214,1.31458857785459,3.55288601319647,1.60407804644985,-0.393260155451112,0.258585441025672,1,"protein metabolism","cytosol;nucleus","other molecular function","hsa:23358; Q6ZSY2; Q8N2Y4; Q9NXD1; Q9UPU5","Ub-specific processing proteases",NA,"https://rest.uniprot.org/uniprotkb/Q9UPU5.fasta",3.5,3.5
"649","Q01813","PFKP",5,3,5,784,85.5,"Pf00365","5214","ENSG00000067057",161501.96249521,NA,37240.2159844308,29510.6827945978,NA,51810.8943920523,441027.609033539,237690.497337013,161512.203125,40402.1015381992,54131.3093818629,136908.880864099,NA,33381.0081275716,NA,1.28918798325913,0.346291626442175,-1.49492424406111,0.655837114916595,0.365208070530222,0.132116135328228,1.57379865331734,NA,-0.407665338158518,0.119167094841399,6,"other metabolic processes;other biological processes","cytosol;other cell component","kinase activity;other molecular function","B3KS15; hsa:5214; Q01813; Q5VSR7; Q5VSR8","Glycolysis","Cori cycle; Clear cell renal cell carcinoma pathways; Glucose metabolism in triple-negative breast cancer cells; Glycolysis and gluconeogenesis; Metabolic Epileptic Disorders","https://rest.uniprot.org/uniprotkb/Q01813.fasta",5.5,4
"650","P15170","GSPT1",61,33,366,499,55.7,"Pf00009, Pf03143, Pf03144","2935","ENSG00000103342",50264860.943182,81367308.641296,59606304.7652323,67636553.6530805,93384254.5348314,93943597.723471,55659781.0434705,41266849.3077976,81865405.3046875,100022197.948992,107230943.780807,106568076.378365,437082.622460809,1521953.04219173,454532.459883209,-0.414923053527351,0.773171652268634,0.0970903287264975,0.098926312218102,-0.714570097827122,1.89894602595016,6.30806144281054,2.6182079716268,0.028499080038275,0.0170116276739064,4,"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes","cytosol;translational apparatus;other cell component","nucleic acid binding activity;other molecular function","hsa:2935; J3KQG6; P15170; Q96GF2","Regulation of expression of SLITs and ROBOs; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",NA,"https://rest.uniprot.org/uniprotkb/P15170.fasta",4,4
"651","Q6UWE0","LRSAM1",12,8,21,723,83.5,"Pf07647, Pf13855, Pf13920","90678","ENSG00000148356",1500749.04817036,1764384.06795113,1032341.65796106,1955657.51678618,3473818.95731613,3549547.56579352,936260.126779163,1678186.57539676,1936695.484375,1957585.00136431,2434550.6820266,1916992.2125492,NA,NA,NA,-1.06306947095137,1.30216903740149,-0.0827394884193086,0.0810670475213547,-0.553951425588202,1.16357493507755,NA,NA,-0.621837118844358,0.787823395036524,2,"protein metabolism;other metabolic processes;transport;other biological processes","other membranes;cytosol;other cell component","other molecular function","Q5VVV0; Q6UWE0; Q8NB40; Q96GT5; Q96MX5; Q96MZ7","Antigen processing: Ubiquitination & Proteasome degradation","Intracellular trafficking proteins involved in CMT neuropathy","https://rest.uniprot.org/uniprotkb/Q6UWE0.fasta",5,4
"652","O14641","DVL2",20,11,92,736,78.9,"Pf00595, Pf00610, Pf00778, Pf02377, Pf12316","1856","ENSG00000004975",4686883.88681943,7881895.12942828,3305946.67913014,3484691.50050801,7343486.72567394,5491484.56164096,4006113.51732963,3674201.30601282,3361445.91015625,7286797.93189723,8481086.12152008,6909747.59227648,140124.052440107,157562.084505054,NA,-0.0398795840028551,0.0284037553450038,0.523761418812422,0.516868206621196,-0.514538315985924,0.722783472387762,5.15183331460415,1.21803129345635,0.209588958770085,0.157218132341463,29,"cell-cell signaling;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function","D3DTN3; hsa:1856; O14641; Q53XM0","RHO GTPases Activate Formins; Asymmetric localization of PCP proteins; Degradation of DVL; Cargo recognition for clathrin-mediated endocytosis; WNT mediated activation of DVL; Disassembly of the destruction complex and recruitment of AXIN to the membrane; Negative regulation of TCF-dependent signaling by DVL-interacting proteins; WNT5:FZD7-mediated leishmania damping; Signaling by Hippo; WNT5A-dependent internalization of FZD4","Alzheimer's disease and miRNA effects; Neural crest differentiation; Notch signaling; Wnt signaling pathway; Regulation of Wnt / B-catenin signaling by small molecule compounds; Embryonic stem cell pluripotency pathways; Wnt signaling pathway and pluripotency; Wnt signaling in kidney disease; Type 2 papillary renal cell carcinoma; lncRNA in canonical Wnt signaling and colorectal cancer; Breast cancer pathway; Wnt signaling; ncRNAs involved in Wnt signaling in hepatocellular carcinoma; Pleural mesothelioma; Alzheimer's disease; DNA damage response (only ATM dependent)","https://rest.uniprot.org/uniprotkb/O14641.fasta",4,4
"653","Q8N0X7","SPART",40,25,193,666,72.8,"Pf06911","23111","ENSG00000133104",16181999.3710193,18311526.5790091,13945123.1734006,19970345.8017357,23683266.501388,23995554.9145822,50716597.4642328,41270998.8123473,57004301.15625,26565664.7677269,21309543.4456389,26324261.1116756,805194.625107961,861442.434959762,862233.315634873,-0.481913543153893,1.62199939580243,-1.62100333906434,2.67466428154864,-0.615250237588702,1.80570889884532,4.25959363647766,3.57788120358847,-0.598487883190532,0.334790985929995,0,"cell organization and biogenesis;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;mitochondrion;other cell component","other molecular function","hsa:23111; O60349; Q86Y67; Q8N0X7; Q9H1T2; Q9H1T3",NA,NA,"https://rest.uniprot.org/uniprotkb/Q8N0X7.fasta",4.5,4
"654","P48681","NES",14,18,60,1621,177.3,"Pf00038","10763","ENSG00000132688",10713063.1774492,2756071.28565343,3586479.66341902,3008385.23704973,2304159.08555085,2188805.86011599,938668.166025219,69243.2873871844,545062.883789063,9074028.23301584,9909806.53361998,5665771.63136053,199485.855480854,67481.0678463291,NA,1.1850245058313,0.556107114161966,3.45714080883748,0.953032132294937,-0.531317906571217,0.373619700813827,5.41247938655725,0.727743581392416,0.880416472604283,0.515231225051996,1,"cell cycle OR cell proliferation;cell organization and biogenesis;developmental processes;other biological processes","cytoskeleton;other cell component","signal transduction activity or receptor binding;other molecular function","hsa:10763; O00552; P48681; Q3LIF5; Q5SYZ6",NA,"Cell lineage map for neuronal differentiation","https://rest.uniprot.org/uniprotkb/P48681.fasta",3.5,3.5
"655","P11413","G6PD",14,6,27,515,59.2,"Pf00479, Pf02781","2539","ENSG00000160211",81197.3125591853,2605401.786996,3343748.56759875,2513755.78352985,3506067.84811991,7062140.68370959,2085837.15231635,1350314.94880441,3390710.5,418739.543238288,2047257.99984458,5329364.47575238,188847.248740677,394377.674290816,564126.545959184,-1.11726609898604,0.622663324668918,-0.178981536079654,0.0812824513982972,-0.370374843542528,0.122878098302164,2.39393377925081,0.752622614523314,-0.258335262225515,0.111777507757451,16,"other metabolic processes;stress response;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","other molecular function","D3DWX9; hsa:2539; P11413; Q16000; Q16765; Q8IU70; Q8IU88; Q8IUA6; Q96PQ2","TP53 Regulates Metabolic Genes; NFE2L2 regulates pentose phosphate pathway genes; Pentose phosphate pathway","Glutathione metabolism; Pentose phosphate metabolism; Cori cycle; Vitamin D receptor pathway; Nuclear receptors meta-pathway; NRF2 pathway; ATM signaling in development and disease ; Metabolic reprogramming in colon cancer; Vitamin D-sensitive calcium signaling in depression; Pentose phosphate pathway in senescent cells; NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence; Glycolysis in senescence; Sulfation biotransformation reaction","https://rest.uniprot.org/uniprotkb/P11413.fasta",4,4
"656","P42566","EPS15",10,8,20,896,98.6,NA,"2060","ENSG00000085832",1298544.75297778,541167.294370078,842731.498034804,1665324.63871158,872331.752848061,1437309.05842004,2812622.83578283,2382096.77576126,1074855.41992188,2894859.48209759,2625462.35921224,1409578.21562255,NA,NA,NA,-0.567394512294269,0.597677401804465,-1.22481984823022,0.98878321550225,-1.36928673756483,1.30784566298305,NA,NA,-1.09368088943984,1.22629091510257,8,"cell organization and biogenesis;transport;other biological processes","plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component","other molecular function","B2R8J7; D3DPJ2; hsa:2060; P42566; Q5SRH4","Cargo recognition for clathrin-mediated endocytosis; EGFR downregulation; Negative regulation of MET activity; InlB-mediated entry of Listeria monocytogenes into host cell","VEGFA-VEGFR2 signaling; Ebola virus infection in host; EGF/EGFR signaling pathway","https://rest.uniprot.org/uniprotkb/P42566.fasta",3.5,3.5
"657","Q9P2M7",NA,3,4,7,1197,136.3,NA,NA,NA,571266.668927085,663565.430807736,898859.772827641,223389.191946842,1103623.50027036,724266.081897571,359234.533365276,931156.611527238,6701972.984375,905139.670904151,1385125.77991714,785461.259258751,680699.838239047,1098117.1469289,463919.893016461,0.0568282797948551,0.0340138071078318,-1.90527046235963,0.408824314573229,-0.527575469157098,0.688517607532216,-0.071908519904193,0.0599541558619053,-0.847952299633209,0.228146429406071,0,NA,NA,NA,NA,NA,NA,"https://rest.uniprot.org/uniprotkb/Q9P2M7.fasta",3.5,3.5
"658","Q9H1A4","ANAPC1",17,28,89,1944,216.4,"Pf12859, Pf18122, Pf20518, Pf21282","64682","ENSG00000153107",8861919.91538076,4034793.68009206,5798104.45945962,7257628.08466962,7769941.18083162,10176959.4798843,3631518.78565188,6473124.93243593,7204802.94140625,11704554.5505422,14095975.300064,7125879.9889394,659036.769309364,152885.038776518,4992061.5291344,-0.431044549804641,0.577799936565922,0.111078824384677,0.0924045803564343,-0.816606784560016,0.890158421444367,1.68752314774925,0.965220408090004,-0.119629386301231,0.0789908949802453,20,"cell cycle OR cell proliferation;protein metabolism;other metabolic processes;other biological processes","cytosol;nucleus","other molecular function","hsa:64682; Q2M3H8; Q9BSE6; Q9H1A4; Q9H8D0","Antigen processing: Ubiquitination & Proteasome degradation; APC/C:Cdc20 mediated degradation of Securin; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Separation of Sister Chromatids; CDK-mediated phosphorylation and removal of Cdc6; Autodegradation of Cdh1 by Cdh1:APC/C; Assembly of the pre-replicative complex; APC/C:Cdc20 mediated degradation of Cyclin B; APC-Cdc20 mediated degradation of Nek2A; Senescence-Associated Secretory Phenotype (SASP); Transcriptional Regulation by VENTX; Inactivation of APC/C via direct inhibition of the APC/C complex; Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase; Regulation of APC/C activators between G1/S and early anaphase; Phosphorylation of the APC/C; Aberrant regulation of mitotic exit in cancer due to RB1 defects","Cell cycle; 2q13 copy number variation syndrome","https://rest.uniprot.org/uniprotkb/Q9H1A4.fasta",3,3
"659","Q05DH4","FHIP1A",5,5,7,1040,116.5,"Pf10257, Pf19311, Pf19314","729830","ENSG00000164142",606122.333942401,214652.263902117,682877.048600171,497423.946956497,250458.151418359,217556.967818316,600800.175331399,402239.709751671,137453.34765625,1007246.76940029,2345453.11032706,572193.163875711,NA,NA,208999.773889563,0.639213262806732,0.455664677315969,0.398812487829442,0.241702204731556,-1.38418296588313,0.661240535895157,1.26193458675827,NA,-0.316069626983266,0.11723245127621,0,"other biological processes",NA,NA,"Q05DH4; Q6ZUS2",NA,NA,"https://rest.uniprot.org/uniprotkb/Q05DH4.fasta",3.5,3.5
"660","Q641Q2","WASHC2A",21,20,83,1341,147.1,"Pf15255","387680","ENSG00000099290",3694011.40178019,8209811.27753336,5597777.33042655,5303353.47785604,1457564.10769427,582807.511805261,1069286.23533867,2978016.49014221,544401.462890625,7418232.7333343,12112402.2947653,6895588.92843984,709462.074150783,120118.578818333,NA,1.25290286088481,0.801216201660545,1.93038521308496,1.33899790191788,-0.594483472616814,0.634661897490339,3.81399826064041,1.30025967675173,0.711424942885776,0.443174238137295,0,"transport;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cytoplasmic organelle;other cell component","other molecular function","A2A3S2; A2A3U6; hsa:387680; Q5SNT6; Q641Q2; Q6DHY0",NA,NA,"https://rest.uniprot.org/uniprotkb/Q641Q2.fasta",2,2
"661","P55072","VCP",8,5,18,806,89.3,"Pf00004, Pf02359, Pf02933, Pf17862","7415","ENSG00000165280",944018.910717934,1484506.94940168,211009.172831971,416668.21470509,1085390.3069904,9283814.13261769,522283.153423022,1025924.23708306,1014117.9375,1479572.09327677,1121700.176746,882310.809537486,514167.005015687,76493.8955393879,258218.671104448,-2.03078718631082,0.399754841916518,0.0428301537344187,0.0212101735477885,-0.400288156211247,0.277218170583246,1.63665201214548,0.697065554190838,-0.743816462415376,0.156924783252546,21,"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes","non-structural extracellular;other membranes;cytosol;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;enzyme regulator activity;other molecular function","B2R5T8; P55072; Q0V924; Q2TAI5; Q969G7; Q9UCD5; V9HW80","Neutrophil degranulation; ABC-family proteins mediated transport; E3 ubiquitin ligases ubiquitinate target proteins; Hedgehog ligand biogenesis; Hh mutants are degraded by ERAD; Defective CFTR causes cystic fibrosis; Neddylation; KEAP1-NFE2L2 pathway; Aggrephagy; Attachment and Entry; Attachment and Entry; Ovarian tumor domain proteases; Josephin domain DUBs; Protein methylation; RHOH GTPase cycle; HSF1 activation; Translesion Synthesis by POLH; N-glycan trimming in the ER and Calnexin/Calreticulin cycle","Alstrom syndrome; Clock-controlled autophagy in bone metabolism; HDAC6 interactions in the central nervous system","https://rest.uniprot.org/uniprotkb/P55072.fasta",4.5,4
"662","Q7L1W4","LRRC8D",16,13,26,858,98.1,"Pf12534, Pf13855","55144","ENSG00000171492",152051.875584613,91062.7519727407,310748.396000993,293855.42248927,NA,313875.719296288,7361437.19066822,5039721.27597804,7766705.5,1062780.19043129,591605.894742111,707134.317407285,244093.979781098,NA,267896.246183425,-0.718866496117322,0.594139931353385,-5.1863852560866,2.80938308138291,-2.09211486875856,1.74056630844669,-0.471549543788184,0.334713121787031,-3.6791470004218,0.581770291612284,2,"cell organization and biogenesis;stress response;transport;signal transduction;other biological processes","plasma membrane;other membranes;ER/Golgi;other cell component","transporter activity","D3DT29; hsa:55144; Q6UWB2; Q7L1W4; Q9NVW3","Miscellaneous transport and binding events","Neuroinflammation and glutamatergic signaling","https://rest.uniprot.org/uniprotkb/Q7L1W4.fasta",5,4
"663","Q9Y6D5","ARFGEF2",27,40,131,1785,201.9,"Pf01369, Pf09324, Pf12783, Pf16213, Pf20252","10564","ENSG00000124198",4398715.93699102,5566339.63553229,2535604.06857274,3217915.89332801,2144557.64498643,2269010.28603704,30650949.0252293,51134448.2676787,27926334.4921875,7598590.139726,10870016.3422592,3301531.90294282,6189952.72060573,4941289.08874542,5119672.88390069,0.711968726503066,0.792765103406464,-3.13364167457586,1.92956046124687,-0.800346352494316,0.583316261249192,-0.378516697696953,0.577068050360075,-1.63557861409888,0.448855529367509,1,"cell organization and biogenesis;other metabolic processes;transport;signal transduction;other biological processes","other membranes;cytosol;cytoskeleton;ER/Golgi;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;enzyme regulator activity;cytoskeletal activity;other molecular function","hsa:10564; Q5TFT9; Q9NTS1; Q9Y6D5","Association of TriC/CCT with target proteins during biosynthesis",NA,"https://rest.uniprot.org/uniprotkb/Q9Y6D5.fasta",4,4
"664","Q14258","TRIM25",30,15,92,630,70.9,"Pf00622, Pf13445, Pf13765","7706","ENSG00000121060",26338854.3118031,365040036.675779,372309110.715967,298052780.744052,323337281.422536,568756053.775424,20840365.2266931,14091791.3873765,30898806.78125,12641769.7068502,14670288.2565396,17167878.6664862,NA,6469047.41650114,NA,-0.640083443302956,0.423930703192267,3.53614514175558,0.95307513866785,4.10175671994402,0.984609104387484,5.29832375939487,NA,0.961843331026187,0.443944430882758,19,"protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes","cytosol;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function","hsa:7706; Q14258","PKR-mediated signaling; ISG15 antiviral mechanism; RSV-host interactions; SARS-CoV-2 activates/modulates innate and adaptive immune responses; Interferon gamma signaling; TRAF6 mediated NF-kB activation; NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10; Termination of translesion DNA synthesis; Negative regulators of DDX58/IFIH1 signaling; SARS-CoV-1 activates/modulates innate immune responses; Ovarian tumor domain proteases; TRAF3-dependent IRF activation pathway; TRAF6 mediated IRF7 activation; Evasion by RSV of host interferon responses","Novel intracellular components of RIG-I-like receptor pathway; Cytosolic DNA-sensing pathway; SARS-CoV-2 innate immunity evasion and cell-specific immune response; 1p36 copy number variation syndrome","https://rest.uniprot.org/uniprotkb/Q14258.fasta",3.5,3.5
"665","Q14498","RBM39",10,4,9,530,59.3,"Pf00076, Pf15519","9584","ENSG00000131051",110487.23075475,260523.993636629,254777.102118987,79870.3699492865,NA,105468.361136326,742430.90746551,1185351.10663937,2221227.46875,825245.625373352,604867.809771808,1445755.70071603,95219.5330561306,NA,115867.219666326,1.17054784651869,0.774330069635022,-2.72902030276461,1.25039075887528,-2.20025137674951,1.36596034292062,0.982876204409123,0.688598238960718,-1.83096047951919,0.629248171183965,3,"RNA metabolism OR transcription;other metabolic processes;other biological processes","cytoskeleton;nucleus;other cell component","other molecular function","A2RRD3; A5D8W2; B0BLV3; E1P5S0; E1P5S1; hsa:9584; Q14498; Q14499","mRNA Splicing - Major Pathway","VEGFA-VEGFR2 signaling; mRNA processing","https://rest.uniprot.org/uniprotkb/Q14498.fasta",2.5,2.5
"666","P55011","SLC12A2",29,25,72,1212,131.4,"Pf00324, Pf03522, Pf08403","6558","ENSG00000064651",2409990.35724978,1921024.10645827,1380074.98870315,2748686.23556738,2314643.88186746,2203069.4580607,29100236.0219989,30557024.7419043,13629924.7265625,2296081.22677638,2551716.2555265,1696339.65281167,373087.882260409,NA,NA,-0.347474719370224,0.692760454620639,-3.68172307363738,1.84687346079515,-0.196436999263918,0.286841015849992,2.35121607299373,NA,-2.19999817407218,0.459056740395677,2,"cell-cell signaling;cell organization and biogenesis;stress response;transport;other biological processes","plasma membrane;other membranes;other cell component","transporter activity;other molecular function","hsa:6558; P55011; Q8N713; Q8WWH7","Cation-coupled Chloride cotransporters","Polycystic kidney disease pathway","https://rest.uniprot.org/uniprotkb/P55011.fasta",2.7,2.7
"667","Q9BPX3","NCAPG",23,19,74,1015,114.3,"Pf12719","64151","ENSG00000109805",2156857.72962416,2263842.26236672,4292850.43144899,7179663.63290555,3570659.7733155,6701998.4879781,5565789.83784854,4470499.86509751,2710893.62109375,8087450.95326821,4155728.2667937,7658477.06413265,NA,507005.961496277,NA,-1.00208640415328,1.02989997835948,-0.548845913518813,0.548991733493073,-1.19155591752009,1.2284705047845,2.51822356245691,NA,-0.80107205644843,0.759213644794678,1,"cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes","cytosol;nucleus;other cell component",NA,"hsa:64151; Q3MJE0; Q96SV9; Q9BPX3; Q9BUR3; Q9BVY1; Q9H914; Q9H9Z6; Q9HBI9","Condensation of Prometaphase Chromosomes",NA,"https://rest.uniprot.org/uniprotkb/Q9BPX3.fasta",4,4
"668","O15357","INPPL1",14,15,47,1258,138.5,"Pf00017, Pf00536","3636","ENSG00000165458",3166099.86130221,3175088.06505852,2125554.90267885,4444831.35497019,2507058.89467231,3122029.15159614,1851004.28314794,2119924.76995862,1142393.1953125,7942092.63671664,6910948.88129511,3782931.86814061,134755.286072154,60405.4922282991,62278.1545656715,-0.250746119472205,0.329375504772395,0.727546119484717,1.15715513785793,-1.13821120120035,1.2266746311615,5.03950491289841,2.84395888107325,-0.00907404543141061,0.00394477135639921,6,"cell adhesion;cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component","cytoskeletal activity;other molecular function","B2RTX5; hsa:3636; O15357; Q13577; Q13578","Synthesis of PIPs at the plasma membrane; Interleukin receptor SHC signaling; Synthesis of IP3 and IP4 in the cytosol; Signaling by CSF1 (M-CSF) in myeloid cells","EGF/EGFR signaling pathway; Insulin signaling","https://rest.uniprot.org/uniprotkb/O15357.fasta",4,4
"669","O15013","ARHGEF10",4,4,6,1369,151.5,"Pf00621, Pf19056, Pf19057","9639","ENSG00000104728; ENSG00000274726",774541.00049057,1086435.39700321,1071912.40920841,1095781.93984721,549163.273831185,655070.957835733,848554.034889249,889865.141998303,103069.296875,2445362.30644459,3019077.86564405,1385427.32070683,79780.3950943838,67604.0902303535,68096.3673721266,0.350678371024565,0.466023337219891,0.671450008726943,0.590748679373795,-1.22375370425922,1.2529027432506,3.76669079146186,3.05620103179307,0.0660130708275676,0.0269408789685161,7,"cell cycle OR cell proliferation;cell organization and biogenesis;developmental processes;other biological processes","cytosol;cytoskeleton","enzyme regulator activity;cytoskeletal activity","hsa:9639; O14665; O15013; Q2KHR8; Q68D55; Q8IWD9; Q8IY77","RHOC GTPase cycle; RHOA GTPase cycle; CDC42 GTPase cycle; RAC1 GTPase cycle; NRAGE signals death through JNK; G alpha (12/13) signalling events; RHOB GTPase cycle",NA,"https://rest.uniprot.org/uniprotkb/O15013.fasta",2.5,2.5
"670","P25098","GRK2",7,5,7,689,79.5,"Pf00069, Pf00169, Pf00615","156","ENSG00000173020",849178.730719384,89472.9763033378,342840.776413311,1950734.55349006,159130.914525081,1239379.99102318,1047767.71272924,636055.319236206,2160765.96484375,1616002.96769346,164095.979863238,1506037.47157174,NA,NA,NA,-1.38601109539349,0.53648769393003,-1.5850043595307,0.776292770356351,-1.35856735633696,0.574937372898928,NA,NA,-1.44677528507396,0.880139767767725,9,"cell-cell signaling;protein metabolism;other metabolic processes;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;other cell component","signal transduction activity or receptor binding;kinase activity;other molecular function","B0ZBE1; hsa:156; P25098; Q13837; Q6GTT3","Cargo recognition for clathrin-mediated endocytosis; G alpha (q) signalling events; Activation of SMO; G alpha (s) signalling events; Calmodulin induced events","Chemokine signaling pathway; Hedgehog signaling pathway; Hedgehog signaling pathway; HDAC6 interactions in the central nervous system","https://rest.uniprot.org/uniprotkb/P25098.fasta",4.5,4
"671","P51812","RPS6KA3",9,6,25,740,83.7,"Pf00069, Pf00433","6197","ENSG00000177189",451376.480907832,771877.784727462,NA,426859.270316244,209395.722600255,716541.705426584,167502.254724472,469980.74224049,381352.375,707346.054204751,811554.17669443,967820.974576582,NA,NA,NA,0.439741770552045,0.279712333186841,0.848765861217441,0.697471408049298,-0.438557956964312,0.595376976027836,NA,NA,0.180181915530125,0.129656339493333,18,"cell-cell signaling;cell cycle OR cell proliferation;protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","cytosol;nucleus;other cell component","enzyme regulator activity;kinase activity;other molecular function","B2R9V4; hsa:6197; P51812; Q4VAP3; Q59H26; Q5JPK8; Q7Z3Z7","Senescence-Associated Secretory Phenotype (SASP); Recycling pathway of L1; RSK activation; ERK/MAPK targets; CREB phosphorylation; Gastrin-CREB signalling pathway via PKC and MAPK","Brain-derived neurotrophic factor (BDNF) signaling pathway; Kit receptor signaling pathway; MAPK signaling pathway; Angiopoietin-like protein 8 regulatory pathway; Thermogenesis; EGF/EGFR signaling pathway; Cytoplasmic ribosomal proteins; Insulin signaling; Host-pathogen interaction of human coronaviruses - MAPK signaling; Pleural mesothelioma; Macrophage-stimulating protein (MSP) signaling network map","https://rest.uniprot.org/uniprotkb/P51812.fasta",3,3
"672","Q96M27","PRRC1",12,6,49,445,46.7,"Pf01931","133619","ENSG00000164244",228765.469880304,3499218.10018577,2758183.73060185,5798367.14017951,7571842.66222422,7758927.62561948,15208880.7009886,11006649.4245499,15945546.21875,1781457.07651005,5688771.15623672,5974057.91097512,NA,NA,63296.3278970894,-1.70379573068429,1.85273790241175,-2.70047355701519,2.53922198122324,-1.05155501245082,0.622263965939337,5.09413812052431,NA,-1.82866117694979,0.985176806488642,0,NA,"ER/Golgi;other cell component","other molecular function","hsa:133619; Q69YM8; Q7L2U7; Q86Y42; Q8IVJ4; Q8IVL4; Q8NEZ7; Q96AJ3; Q96M27",NA,NA,"https://rest.uniprot.org/uniprotkb/Q96M27.fasta",6,4
"673","Q9BY44","EIF2A",52,21,144,585,64.9,"Pf08662","83939","ENSG00000144895",1195417.49420184,21642327.4311827,16958519.8291353,16088977.8460487,22032642.5911947,24833784.2130258,15467373.8468408,13047756.5813091,26960134.8125,10662284.6682852,15509338.4800903,28556332.9011196,518016.395495545,767310.23566816,56706.2051531172,-0.661697210073869,0.503836918166074,-0.479211633388175,0.279246582925266,-0.459644949622583,0.240006010880715,4.89014115056272,0.970373304819487,-0.132527550885883,0.0707378305136277,3,"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes","cytosol;translational apparatus;other cell component","translation activity;nucleic acid binding activity","A8MPS6; B4DF96; B4DQ14; D3DNI9; hsa:83939; Q5QTR2; Q7Z4E9; Q8NFM1; Q96EW9; Q96K81; Q9BY44",NA,"Photodynamic therapy-induced unfolded protein response; VEGFA-VEGFR2 signaling; 7q11.23 copy number variation syndrome","https://rest.uniprot.org/uniprotkb/Q9BY44.fasta",4.5,4
"674","Q14678","KANK1",30,34,135,1352,147.2,"Pf00023, Pf12075","23189","ENSG00000107104",11457086.0607819,10397555.3273067,9650387.63873664,16116734.7845927,9031905.0587392,7361416.02263877,3161316.96213894,4614492.07233942,1654613.1171875,21589403.7703767,35747768.2519416,14254824.9150607,83228.4000741176,NA,NA,-0.0453038963230034,0.0417232445763813,1.74018787934393,2.73662214099693,-1.18421618292493,0.989849208194797,6.97932801878189,NA,-0.113542612075344,0.0467951188797499,3,"cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes","plasma membrane;other membranes;cytoskeleton;nucleus;other cell component","other molecular function","A2A2W8; D3DRH3; hsa:23189; Q14678; Q5W0W0; Q8IY65; Q8WX74","Estrogen-dependent gene expression; Signaling by membrane-tethered fusions of PDGFRA or PDGFRB","VEGFA-VEGFR2 signaling","https://rest.uniprot.org/uniprotkb/Q14678.fasta",4.5,4
